onset	duration	trial_type	response_time
4.004690	0.833745	guess_rightButton_computer	0.833745
7.357756	1.007020	outcome_computer_reward	n/a
12.369299	0.836511	guess_rightButton_computer	0.836511
16.571489	1.005684	outcome_computer_punish	n/a
21.580401	1.041475	guess_leftButton_computer	1.041475
25.783434	1.005165	outcome_computer_punish	n/a
30.792196	0.629519	guess_rightButton_computer	0.629519
34.143770	1.006006	outcome_computer_neutral	n/a
36.326016	1.045767	guess_leftButton_face	1.045767
40.528816	1.004960	outcome_stranger_reward	n/a
43.539396	1.033300	guess_leftButton_computer	1.033300
47.740782	1.004654	outcome_computer_punish	n/a
50.748396	0.523722	guess_rightButton_computer	0.523722
54.100806	1.005040	outcome_computer_neutral	n/a
57.280126	0.424960	guess_rightButton_face	0.424960
62.332816	1.005670	outcome_stranger_punish	n/a
64.509716	0.528642	guess_leftButton_face	0.528642
67.862796	1.006030	outcome_stranger_reward	n/a
71.873496	0.831551	guess_rightButton_computer	0.831551
75.225806	1.004460	outcome_computer_neutral	n/a
77.399931	1.038283	guess_leftButton_face	1.038283
82.451826	1.005150	outcome_stranger_punish	n/a
86.461531	0.726695	guess_rightButton_computer	0.726695
89.813841	1.004755	outcome_computer_reward	n/a
91.823366	0.631437	guess_rightButton_computer	0.631437
95.175846	1.005170	outcome_computer_punish	n/a
98.356666	0.931194	guess_rightButton_face	0.931194
101.707876	1.005140	outcome_stranger_reward	n/a
105.881396	1.556646	guess_leftButton_face	1.556646
110.933656	1.006150	outcome_stranger_punish	n/a
115.944906	0.942918	guess_rightButton_computer	0.942918
119.297846	1.004160	outcome_computer_punish	n/a
121.476526	1.045321	guess_rightButton_face	1.045321
126.528906	1.005650	outcome_stranger_punish	n/a
131.539506	0.732327	guess_rightButton_computer	0.732327
136.592056	1.004840	outcome_computer_reward	n/a
139.770146	0.634517	guess_rightButton_face	0.634517
144.822896	1.003680	outcome_stranger_reward	n/a
149.999886	0.738521	guess_leftButton_face	0.738521
154.202826	1.005100	outcome_stranger_reward	n/a
157.212286	0.942444	guess_rightButton_computer	0.942444
160.563906	1.006020	outcome_computer_punish	n/a
165.573436	0.831476	guess_leftButton_computer	0.831476
170.625936	1.003680	outcome_computer_punish	n/a
175.633426	1.237692	guess_leftButton_computer	1.237692
180.685956	1.005120	outcome_computer_reward	n/a
182.862446	0.625538	guess_leftButton_face	0.625538
187.064976	1.010160	outcome_stranger_punish	n/a
190.246926	1.041530	guess_leftButton_face	1.041530
195.298516	1.005460	outcome_stranger_punish	n/a
197.475606	0.628952	guess_rightButton_face	0.628952
201.678996	1.005090	outcome_stranger_neutral	n/a
205.851756	0.536860	guess_rightButton_face	0.536860
210.903816	1.004930	outcome_stranger_reward	n/a
213.076006	1.045644	guess_rightButton_face	1.045644
218.129036	1.004620	outcome_stranger_punish	n/a
223.138696	0.533030	guess_leftButton_computer	0.533030
226.490886	1.004220	outcome_computer_punish	n/a
229.498526	1.556275	guess_leftButton_computer	1.556275
233.701006	1.004030	outcome_computer_punish	n/a
237.708886	0.829767	guess_rightButton_computer	0.829767
241.912036	1.004890	outcome_computer_punish	n/a
245.091876	0.429907	guess_rightButton_face	0.429907
248.444906	1.003600	outcome_stranger_punish	n/a
250.452806	0.835759	guess_leftButton_computer	0.835759
255.506036	1.004670	outcome_computer_reward	n/a
258.514556	1.457094	guess_leftButton_computer	1.457094
262.716056	1.004000	outcome_computer_reward	n/a
267.723596	0.930901	guess_leftButton_computer	0.930901
272.776086	1.004670	outcome_computer_neutral	n/a
275.953236	1.237519	guess_leftButton_face	1.237519
279.305076	1.005000	outcome_stranger_reward	n/a
283.479516	1.042130	guess_rightButton_face	1.042130
286.831756	1.005000	outcome_stranger_neutral	n/a
291.008296	0.530130	guess_rightButton_face	0.530130
295.211076	1.011020	outcome_stranger_punish	n/a
297.391896	0.829531	guess_leftButton_face	0.829531
301.594056	1.004630	outcome_stranger_reward	n/a
305.603776	0.734631	guess_leftButton_computer	0.734631
309.806116	1.003600	outcome_computer_reward	n/a
314.983936	0.622079	guess_leftButton_face	0.622079
319.185206	1.003600	outcome_stranger_reward	n/a
324.359656	1.244791	guess_leftButton_face	1.244791
329.412156	1.004670	outcome_stranger_neutral	n/a
332.586206	1.352209	guess_leftButton_face	1.352209
336.788136	1.003600	outcome_stranger_neutral	n/a
339.963096	1.241459	guess_rightButton_face	1.241459
344.165186	1.004970	outcome_stranger_reward	n/a
348.338426	0.518913	guess_rightButton_face	0.518913
353.390756	1.004470	outcome_stranger_neutral	n/a
357.567406	0.936972	guess_rightButton_face	0.936972
362.620156	1.005080	outcome_stranger_punish	n/a
365.629876	1.758319	guess_leftButton_computer	1.758319
369.831626	1.004580	outcome_computer_reward	n/a
371.839926	1.048755	guess_leftButton_computer	1.048755
376.892956	1.003730	outcome_computer_reward	n/a
381.899586	1.138857	guess_leftButton_computer	1.138857
385.251856	1.005430	outcome_computer_reward	n/a
387.260706	1.144614	guess_rightButton_computer	1.144614
391.463036	1.004620	outcome_computer_neutral	n/a
396.470726	1.135966	guess_leftButton_computer	1.135966
399.824176	1.004680	outcome_computer_reward	n/a
403.831716	1.856054	guess_rightButton_computer	1.856054
407.184256	1.005500	outcome_computer_punish	n/a
409.360586	0.727484	guess_leftButton_face	0.727484
414.413256	1.004640	outcome_stranger_punish	n/a
418.590716	0.730811	guess_rightButton_face	0.730811
421.943256	1.005000	outcome_stranger_reward	n/a
