global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	c_comp_cor_15	c_comp_cor_16	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
5468.244379543479	n/a	29901696.59440885	n/a	11421.471245155111	n/a	n/a	130450005.40390503	5013.5309059206775	n/a	n/a	25135492.144621808	5075.846178191343	9583.817773224757	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0207809	n/a	n/a	0.00043184580481	-0.0329791	n/a	n/a	0.00108762103681	-0.0291962	n/a	n/a	0.00085241809444	0.00145163	n/a	2.1072296569e-06	n/a	0.00112978	n/a	n/a	1.2764028483999998e-06	0.000490998	n/a	n/a	2.41079036004e-07
5403.800079028413	-64.44430051506606	29201055.29410749	4153.067868876144	11185.844603788084	-235.62664136702733	55519.91412190571	125123119.500095	4979.217937277692	-34.31296864298565	1177.3798170945165	24792611.26690791	5036.512807565024	9310.348882047252	1.24396	38.311291	0.04272645	0.0268304	-0.1094450418	0.0484289144	0.1359379386	0.1329287515	-0.1064394654	0.2018251235	-0.1198448498	0.1585620699	0.0200860609	-0.3347041002	0.0758160324	-0.143051331	0.0033637088	-0.044045707	0.1108361951	-0.1392298698	0.0788978323	0.1268716368	-0.4442643338	0.0201359302	-0.0884396127	0.0084367683	-0.0642527587	0.0208074223	-0.0330677246	0.0185948424	-0.1783338914	0.0512405746	-0.0232298653	0.0686604004	-0.0301659344	0.1207701695	-0.0954200622	0.0416228331	-0.0133591043	0.1439899519	-0.0017099653	-0.1252495394	0.0174865221	-0.0217663672	0.0017519959	0.1253488384	-0.0719665001	0.0100889467	0.0238903298	-0.0818197537	-0.0218869675	0.0752254934	0.0373023445	-0.1115482565	-0.036122608	0.0230321409	0.0343671132	0.0908614337	-0.0799589896	-0.0484700049	-0.0676914158	0.0269542247	0.1558282087	0.0681980828	-0.1553824987	-0.0820516939	-0.0698019496	0.0699646808	0.2164008083	-0.0719199336	-0.1441978705	-0.0574694237	0.0757014403	-0.04378591	0.0317028968	0.0760020609	-0.0016151718	0.1456630721	-0.0652861944	0.0801363667	-0.0602900773	0.0316228899	-0.0066465263	0.1165421897	-0.1221639555	0.0824658518	-0.1437674189	0.074168071	-0.001388031	-0.0163355099	0.0212860224	-0.1000006818	0.0051572192	0.1006203892	-0.0206620907	0.0211288791	0.100787999	-0.0171441055	-0.0617769974	-0.0641570734	0.0918498665	0.0053311093	-0.0092766386	-0.0104354485	-0.0291451558	-0.0878149167	0.1312198159	0.0282411714	-0.0612140522	-0.0865250414	-0.175596812	0.1452372758	0.0485673076	0.009594735	-0.0414429223	-0.057169793	0.2478937401	0.0341904317	0.1240256802	0.1239985182	0.1239532527	0.1238898902	0.1238084399	0.0	0.0134676	-0.0073133	5.348435689000003e-05	0.00018137624976	-0.035998	-0.0030189	9.11375721000003e-06	0.001295856004	-0.0279539	0.0012422999999999	1.5433092899999957e-06	0.00078142052521	0.00194464	0.00049301	3.7816247296e-06	2.4305886010000013e-07	0.00109225	-3.753000000000003e-05	1.408500900000002e-09	1.1930100625e-06	0.000398499	-9.249899999999996e-05	8.556065000999992e-09	1.5880145300100002e-07
5401.788477554978	-2.0116014734348937	29179318.75624573	4.046540487925435	11132.564020815416	-53.28058297266762	2838.8205219073184	123933981.6775539	4981.302112813309	2.0841755356168505	4.343787663263786	24813370.73911833	5036.45294100571	9311.07367270193	1.139557	35.095894	0.05578035	0.0273428	-0.1253866172	-0.0696338283	-0.0353982762	0.0718058557	-0.1550746568	0.0773225541	-0.0732778606	0.1977041033	0.166847063	-0.0692937501	0.1395597027	0.0162147103	0.0300322216	0.0630608173	0.0032308204	-0.2137803639	-0.0795939512	0.177176054	0.053760664	-0.0216095427	0.0122079612	-0.0144057116	0.1042547302	-0.0286111088	-0.01784059	0.0252708496	0.0749963614	0.1614862346	0.0091161588	0.0577406121	-0.1181836128	-0.0608313583	0.0014982521	-0.1182389744	0.0256133742	0.1097674364	0.1851159465	0.0751889319	-0.0704125427	-0.0794932511	-0.0474047342	0.0923792961	-0.0110262265	-0.0853453234	0.0042771344	0.0276713477	0.0426071708	0.0560907551	0.0318586535	0.0775361089	0.0849308754	-0.0461665045	0.0377235525	-0.0202930977	0.1427904598	0.0145931284	0.1335597993	-0.0077210684	-0.0693448446	-0.0442948166	-0.0510172987	0.0344582262	-0.0036414059	-0.0815659863	-0.0468198233	-0.0567131553	-0.0271703108	-0.0071655217	-0.0068803384	0.0396008132	-0.0941979133	-0.0458704004	-0.0098711496	0.0304675168	0.1781144966	-0.0428729563	-0.0622682437	0.0916746887	0.005597861	-0.0120915225	0.1217496881	0.0787524602	-0.1007815319	-0.0233276977	-0.169529037	0.0006314145	0.1413100861	0.0710187932	0.0057713386	0.1150706727	0.0480295113	0.035934857	-0.0357974227	-0.0279014852	-0.0324990866	-0.0019768994	0.0031317989	0.0578428804	0.1058103145	-0.0117932474	-0.0813113363	0.1168156882	-0.1590410473	-0.0292431361	0.0470304108	0.0633698917	0.0196656098	-0.0241943887	0.0407501568	0.0323004017	0.0767179222	0.0266141053	-0.0441399188	0.062242392	0.1239532527	0.1237089139	0.1233020394	0.1227331636	0.1220030341	0.0	0.0147992	0.0013316	1.7731585600000011e-06	0.00021901632064	-0.0198662	0.0161318	0.00026023497124	0.00039466590244	-0.0222348	0.0057191	3.270810481000001e-05	0.00049438633104	0.00159353	-0.00035111	2.5393378609e-06	1.2327823210000012e-07	0.000928647	-0.0001636029999999	2.6765941608999967e-08	8.62385250609e-07	0.000261255	-0.000137244	1.8835915536000004e-08	6.8254175025e-08
5398.754818008402	-3.0336595465760183	29146553.584968936	9.203090244531811	11090.507681045892	-42.05633976952413	1768.7357148096569	122999360.62333794	4976.085060063581	-5.217052749727372	27.21763939343794	24761422.524987977	5032.236252914956	9279.201881074516	1.220121	37.577087	0.1061939	0.051866	0.0622594994	-0.0726385834	0.0177250018	-0.1030364962	-0.1211391059	0.0890160895	-0.1958553291	0.0992157938	-0.0192921534	0.0438252886	0.0159621713	-0.0617307183	0.1050619606	-0.062228345	0.0236822826	0.0570100037	-0.0179929248	-0.0901430577	0.1550558017	0.0736594081	-0.0397283896	0.026521895	0.0036881535	0.0857042356	-0.1668798698	-0.0692329195	0.0847893225	0.1371235686	0.1198725187	0.0525347232	0.1109611547	0.0185395474	-0.1042877223	-0.1043260954	0.0755780173	-0.0068737225	0.0245843212	-0.1728295459	0.1208681542	0.0318815561	0.0437293249	-0.0609333159	-0.1223039418	-0.0479738107	0.0290932212	0.0400578505	-0.0220792118	-0.086329636	-0.0140173507	-0.0238772809	0.0703182898	-0.035649383	0.0873123039	-0.1235083158	-0.1783615399	0.0725615305	0.1787402322	-0.0761527776	-0.0136151284	-0.1000679893	-0.0021539907	0.0351774906	0.0796603273	0.0193351365	-0.0385818546	0.1109636657	-0.0721507995	-0.0418469988	-0.0703379251	-0.0379863264	-0.0624550414	0.1608202718	0.0751104638	0.0048267027	0.1972982092	-0.0591338398	0.0555731543	-0.0976861097	0.0665897717	0.1099325725	-0.0019126425	0.0963254244	0.0306970263	0.1729807457	-0.0613118857	-0.064047681	-0.0785504754	-0.1223991198	-0.0032209938	-0.0585460788	0.0912765893	0.0292887162	-0.0444895707	0.0512773758	0.103959715	0.0255228431	-0.0005792572	0.0721442667	0.1242298186	-0.0793949147	0.157160437	0.1181741724	0.1031634115	-0.0223788031	-0.027366761	0.1341904462	0.0589451743	0.0303155127	0.0190080109	0.0099006731	-0.030364526	-0.0749086222	-0.0462902542	-0.1417542869	0.1238084399	0.1231303817	0.1220030341	0.1204305106	0.1184185493	0.0	0.0222753	0.0074761	5.589207121000002e-05	0.00049618899009	-0.0432522	-0.0233859999999999	0.0005469049959999	0.0018707528048399	-0.013603	0.0086317999999999	7.450797123999997e-05	0.000185041609	0.00241757	0.00082404	5.8446447049e-06	6.790419216000001e-07	0.00122382	0.000295173	8.712709992900003e-08	1.4977353924e-06	0.000476042	0.0002147869999999	4.6133455368999994e-08	2.2661598576400002e-07
5386.264237854277	-12.490580154125382	29011842.439987916	156.01459258663087	11061.647153818009	-28.86052722788372	832.9300318714177	122360037.75557004	4976.464433980575	0.3793739169941545	0.1439245688954877	24765198.26267361	5032.6277281549865	9238.26521547946	1.144302	35.242039	0.096383655	0.0506724	0.0992892014	0.0531021578	0.0293383386	-0.0281767158	0.0332472363	0.0754451746	-0.0540729264	0.0292082057	-0.0161779297	0.1800355603	0.1913309667	0.0185725051	0.0031266666	0.1675751507	-0.1297181878	-0.0037971779	-0.0956674524	-0.0636202352	0.0172870257	-0.0786903245	0.0494223627	0.0482657997	-0.1915443288	0.0455700152	-0.0247546492	0.1130284724	0.0253324567	-0.1768034977	-0.0771907556	0.1406926083	0.0015635249	-0.0483866097	-0.029013373	0.0261649929	-0.0800292553	-0.0542454761	-0.0556615696	0.0475486568	-0.0020084728	0.0252628928	0.0551362079	-0.0266498398	-0.0030561283	0.0735211985	0.0972459505	0.1126123932	0.1042902294	-0.0399702209	-0.028905636	0.0178952235	0.0734204432	-0.0402860725	0.0050057719	0.0454627144	-0.0882698076	0.0372645819	0.0811608122	0.0313948944	0.0747435161	0.0920534874	0.084345649	-0.042005906	-0.1306738898	-0.0217002613	-0.1315617695	-0.0931295158	-0.0013060079	0.0586501365	-0.0154085776	-0.0662186021	0.1561137901	0.0998276824	-0.1151828087	-0.045124246	-0.0974740431	-0.0143312807	-0.1382799394	-0.0798183596	0.0648393891	-0.0143938182	0.0398000428	-0.1015378731	0.0236604743	-0.032522848	0.0338386874	0.0491362465	-0.073228167	0.0383145601	0.0602106624	-0.0445319511	-0.039970775	0.1364536976	-0.154884636	-0.0408360638	0.0979017112	0.0714712493	-0.0067262227	0.0576186436	0.0405337175	-0.005773577	-0.0023577388	0.0696535433	0.0953297908	-0.0259151194	0.0518610222	0.0023462682	-0.1009738025	0.017096926	-0.1441219559	0.0264325507	0.072434134	-0.1090307945	-0.0663796616	0.1028667029	0.1235913266	0.1222642728	0.1200630614	0.1170034304	0.1131072554	0.0	0.0169946	-0.0052807	2.788579249000003e-05	0.0002888164291599	-0.033681	0.0095711999999999	9.16078694399999e-05	0.001134409761	-0.0177362	-0.0041332	1.708334224e-05	0.00031457279044	0.00159736	-0.00082021	2.5515589696e-06	6.727444441000001e-07	0.000928647	-0.000295173	8.712709992900003e-08	8.62385250609e-07	4.34539e-05	-0.0004325880999999	1.8713246426161002e-07	1.88824142521e-09
5391.740265160705	5.4760273064284775	29070863.086955234	29.986875060750325	11048.311783601184	-13.33537021682423	177.8320988197627	122065193.26766078	4984.158264004285	7.693830023709779	59.19502043373802	24841833.60064221	5040.166229419458	9276.706488993772	1.078038	33.201225	0.0519674534999999	0.0251494	0.0414682286	0.110479349	-0.1014821457	0.0147721681	0.0758176349	0.041361095	-0.0961071363	0.0318176659	-0.0461742824	0.1401671393	0.1689913293	0.0060585445	0.0396351654	-0.0462133233	-0.0405015497	-0.0678565694	-0.015788235	-0.0211575141	0.0384769602	-0.0021416907	-0.0470292966	0.0179251816	0.0515845144	-0.0345439059	-0.0713809856	-0.0681002389	0.0825436461	-0.1931591047	-0.0888620492	-0.0837272637	-0.0206294328	-0.0932726283	0.050409922	-0.0213326182	-0.02494252	0.1359411765	-0.0503811082	-0.0347786525	0.0465886546	-0.1963553574	-0.0660695358	-0.1418612167	0.1790711118	-0.1626976886	-0.0975233721	0.1444080774	-0.0194820252	-0.1594020369	-0.0394019193	0.0575757639	-0.042317045	0.0093151214	-0.0743317861	0.0704021551	0.0894773868	0.0901673145	0.0007463787	-0.1831565645	0.004982474	-0.0320532923	-0.0690280532	-0.0598285205	-0.0413237523	0.0295202228	0.1462114254	-0.0639182674	-0.0054570286	0.0156466939	0.0640765692	-0.0583192183	-0.0499569735	0.0360071365	0.0737601567	-0.204520229	-0.1155858879	0.0160698242	0.0625528331	0.022873978	0.0046579089	-0.0800860012	0.10405189	0.0268172911	-0.1399006873	0.0399747845	0.0316332428	-0.1200468508	0.0619727359	0.1645964534	0.0310788593	-0.1893085338	0.08723763	-0.0868041645	-0.1414277063	0.133524574	0.0517681648	-0.01850742	-0.1642658738	-0.1087511804	-0.0300374479	0.0802655776	-0.0952043014	0.0720943026	-0.0209736162	-0.1142249654	-0.1556846322	-0.0227553309	-0.0237581948	0.0464416988	0.0569062302	0.0158604383	-0.0409356431	0.0339341349	0.1662301222	0.071466531	0.1233020394	0.1211126101	0.1174923133	0.1124839207	0.106146603	0.0	0.0251499	0.0081553	6.650891809000001e-05	0.00063251747001	-0.0437182	-0.0100371999999999	0.0001007453838399	0.00191128101124	0.000490449	0.018226649	0.0003322107337692	2.40540221601e-07	0.0015441	-5.325999999999985e-05	2.38424481e-06	2.8366275999999843e-09	0.000717367	-0.00021128	4.46392384e-08	5.14615412689e-07	-2.97219e-06	-4.642609e-05	2.1553818326880997e-09	8.833913396099999e-12
5382.663590418073	-9.076674742632347	28973067.32761238	82.38602438354002	11052.314551466668	4.002767865484202	16.022150584952954	122153656.94456188	4973.799292530232	-10.35897147405285	107.30829000024067	24738679.40237424	5034.524456927661	9257.806872353329	1.103506	33.985603	0.0541526744999999	0.0360853	-0.0333153893	0.1364287261	-0.1143821194	0.1074344094	0.0708612399	0.0020509184	-0.1553501457	0.0281031765	-0.0777387928	0.1843294691	-0.1159437529	-0.0265059177	-0.0577164834	0.0748293855	-0.0240234086	-0.0050133764	-0.1070862041	0.0195129144	-0.0246308509	-0.0960551342	0.0540189966	-0.0397352278	-0.0430730316	-0.0881645951	-0.0871900129	0.2185865156	-0.0560835857	0.0622398081	-0.0430749524	-0.021645925	0.0707921432	-0.0566184034	0.0078734873	0.0235798029	0.0402635138	0.0480177625	-0.1122635761	0.0084460258	0.0891212615	0.0045505262	-0.1214596014	0.1774036132	0.0963134758	-0.0686952633	-0.0387401735	0.0359098785	0.0618361974	0.1072798099	0.0101292918	0.0909134453	-0.1252836573	0.0943631782	-0.0206703727	-0.057416788	0.1806290661	-0.1353011076	-0.039456615	0.1309474141	-0.2384694221	-0.037276116	0.1195886649	-0.0830454008	0.1085133614	0.0128978462	0.0031841443	-0.0360530767	0.0502333667	0.1270802116	0.1453915452	0.0155739409	0.0482429547	0.0131996906	-0.1322089394	0.0727420836	0.0534052746	0.114394969	0.0417536848	-0.0887467159	-0.0499144541	-0.0606973154	0.0123269309	0.1030327763	-0.0583178886	0.0642026993	0.0893545216	-0.1034075428	-0.063229613	0.1323969972	-0.1038425384	0.1668418576	0.0056951904	-0.0266172671	-0.0424926637	-0.0567847401	-0.1413242455	0.0064016617	-0.0130605033	-0.1415402495	-0.0749730788	0.0087921259	-0.024648255	0.0734363379	-0.2215239316	0.1397034749	0.092909997	-0.1191223457	0.1757363369	-0.0661168538	-0.0886895813	-0.1110773266	-0.0635775329	0.0689229589	-0.0446146345	0.0357820568	0.1229407472	0.1196780832	0.1143042958	0.1069141789	0.0976380941	0.0	-0.00692571	-0.03207561	0.001028844756872	4.79654590041e-05	-0.0426835	0.0010346999999999	1.070604089999999e-06	0.0018218811722499	-0.0145213	-0.015011749	0.000225352608039	0.0002108681536899	0.00157728	3.317999999999984e-05	2.4878121984e-06	1.1009123999999895e-09	0.0007417949999999	2.4427999999899983e-05	5.967271839951136e-10	5.502598220248516e-07	-6.59765e-05	-6.300431e-05	3.969543078576101e-09	4.35289855225e-09
5377.949175371018	-4.714415047054899	28922337.332873814	22.22570923589765	11031.955624069717	-20.358927396951916	414.4859247543592	121704044.89144345	4977.414985224477	3.615692694244899	13.073233659215935	24774659.935137182	5035.55702493112	9216.63837678432	1.118989	34.462437	0.0783805949999999	0.0438869	-0.1263199131	0.0616229497	0.1022121872	0.1111967047	-0.0167354769	-0.0915173487	-0.0507684085	-0.0366683794	-0.1939392743	0.0444168927	0.0693844552	0.0433077381	-0.0461048494	0.0901581068	-0.0693083017	0.2374135084	0.1211331466	-0.1810085664	-0.0542919498	0.1054470599	-0.0111410678	-0.0930807261	0.0601452621	-0.0215815021	-0.1362991197	-0.0163256776	-0.1040415622	0.053974316	0.020752725	-0.1341475831	-0.1235937735	0.1090185864	-0.0694777271	-0.0558323825	0.0629387981	-0.0765454625	0.0913146493	0.108987968	0.094751282	-0.124712479	-0.1096948185	-0.1120328468	-0.0890781174	0.1244842142	0.1245723834	0.0571928921	0.0631030785	0.0433818885	-0.11358745	-0.1126179944	-0.0892823852	0.1613905745	0.0091722908	0.1372289535	0.0091799669	0.0530351465	0.000672644	-0.0227778985	-0.200358102	0.04064478	0.0231829811	-0.0107330781	-0.1821513067	-0.0825857987	-0.0043951324	0.0559314624	0.1669014044	0.033381829	0.1091765413	0.0676615147	-0.082891019	0.079365799	0.0578671954	0.1051821707	0.0106400198	0.0135598185	0.1097666436	0.1842245106	0.0328391625	0.1070401875	0.005901049	0.0249111844	0.1077830805	-0.0954016165	-0.0703750725	-0.1701595788	0.0498454978	-0.0586778922	-0.0227396058	-0.1072075806	-0.1265104558	0.1398065011	-0.0763252995	-0.032415118	0.0136780633	0.0156964717	0.1184113598	-0.1795562523	0.0001278139	-0.0874891542	-0.1151827077	0.064368586	0.060101364	0.0033589509	0.0309007459	-0.1741679948	0.0897955046	0.0041146486	-0.1147407702	0.1663503593	0.0788333009	0.1480793354	-0.0385649098	-0.0023346559	0.1225076612	0.1179640426	0.1105157577	0.1003462082	0.0877058019	0.0	0.0118695	0.01879521	0.0003532599189441	0.00014088503025	-0.0362195	0.0064639999999999	4.1783295999999965e-05	0.00131185218025	-0.0133485	0.0011727999999999	1.3754598399999998e-06	0.00017818245225	0.00138075	-0.0001965299999999	1.9064705625e-06	3.862404089999995e-08	1.65495e-05	-0.0007252454999999	5.25981035270105e-07	2.7388595025000006e-10	5.12197e-05	0.0001171962	1.3734949294440002e-08	2.62345766809e-09
5375.855878286752	-2.093297084265941	28899826.424110223	4.381892682996292	11049.007034564824	17.05141049510712	290.7505998726493	122080556.44986296	4973.579181582576	-3.835803641901293	14.713389579223223	24736489.875471607	5027.9060786508935	9237.56682768293	1.180243	36.348919	0.0241106575	0.0117717	-0.0130944814	-0.091536264	-0.0806494163	-0.0296007904	-0.0105513577	-0.0756860681	0.0161937888	0.0139965707	0.0059562278	0.0436694033	-0.0987474584	-0.1173942242	-0.1165040655	0.0062023293	0.0378479621	0.1521047116	0.0266237457	-0.1376597508	0.0165774001	-0.0188363963	-0.0327229713	-0.0590481326	0.0965244912	-0.1137331191	0.0183929749	-0.0926181238	0.0126280431	0.0909467663	-0.0752761435	-0.2203968761	0.0187323247	0.0728114823	0.0346827891	0.0755347803	0.079200457	-0.0628719769	-0.0592740384	0.1127173902	-0.1079186005	0.0104607775	0.0587386587	-0.0772615397	0.0735465921	-0.0121432308	-0.0084462478	-0.1035907682	-0.0412455341	0.0500104028	0.1679398299	0.0548654107	-0.0785256282	-0.1563063133	0.029015629	-0.1883178074	0.0516937269	-0.1528905068	-0.0680164643	0.1247426182	-0.0139219691	-0.0098001388	0.1133357968	0.0006341626	0.0897960939	-0.0134696618	0.0291475688	-0.0723820321	0.0740693582	-0.0314913824	0.0424382104	0.0628847513	-0.0462975111	-0.109308905	0.1265466968	-0.0319124693	0.0711147436	0.1132877736	0.1825848407	0.0755710576	-0.0405411051	0.0112369062	-0.0422927836	0.0052263936	0.094659284	-0.1337499938	0.1107603121	0.1060853888	0.0335873048	0.0930581502	0.0209867307	-0.0567932698	0.0326552495	-0.0369846726	0.116944618	-0.0408101553	-0.1028134961	-0.1411066981	-0.0086632819	0.0855979497	0.0460267163	0.0818103894	0.1558248878	-0.0695155803	-0.1418611327	0.1556885091	0.0601914594	0.0705955824	0.0817925955	-0.0998253395	-0.0235241891	-0.1466247977	0.0153830188	0.0260822374	0.0193983549	0.0792344295	0.1220030341	0.1159744915	0.106146603	0.092841332	0.0764945617	0.0	0.0135562	0.0016866999999999	2.844956889999998e-06	0.0001837705584399	-0.0437737	-0.0075541999999999	5.706593763999996e-05	0.0019161368116899	-0.00682909	0.0065194099999999	4.250270674809999e-05	4.663647022810001e-05	0.00131987	-6.0880000000000135e-05	1.7420568168999997e-06	3.7063744000000166e-09	5.45665e-06	-1.1092850000000002e-05	1.2305132112250003e-10	2.97750292225e-11	-4.38144e-05	-9.50341e-05	9.031480162810002e-09	1.9197016473599997e-09
5381.448666047349	5.592787760597275	28959989.7453028	31.279274935086686	11036.503935574548	-12.503098990275248	156.32748436062192	121804419.1199525	4966.805743370037	-6.773438212539077	45.87946521908456	24669159.292373583	5022.961621430401	9272.851349718578	1.147166	35.330238	0.0917486002	0.0410913	0.1011592315	-0.0309479277	0.0259161536	-0.1020704619	0.0462671206	0.0077741585	0.1327509946	-0.0072355583	-0.066222479	0.0179226957	-0.0247126141	0.0084509005	0.1025650545	-0.0014525409	0.1253590399	0.1043693618	0.096189039	0.0279138958	0.028611651	0.0377474458	-0.0016137683	0.1070550084	0.0950630849	0.0197713536	0.178231317	-0.1798638144	0.0508366511	-0.0340714979	-0.0365818465	0.059108703	-0.075111778	-0.013014377	-0.0578117469	0.1061078601	-0.1321429226	0.0297871357	0.0616545059	0.0497274004	-0.0158059849	0.0578512048	0.1777582965	0.0151915692	-0.1160511049	-0.095329683	-0.149064238	-0.0877589605	0.1404524552	-0.0220028758	0.0525661102	0.070423213	-0.1105738009	0.0100917766	0.0061177827	-0.0297843212	0.1245272913	0.0285127487	-0.0379782029	0.0467366464	0.0356141186	0.1140051165	-0.1256481641	-0.0742871009	0.1257501134	-0.2657573777	-0.0262712635	0.1759237771	-0.0555032775	-0.0435774811	-0.1256842378	-0.0784360605	-0.0402580857	-0.1530659081	0.0910689679	-0.1052038512	-0.0669888155	-0.0276857857	-0.1047963112	0.0847807356	0.047737539	-0.0099278237	-0.1018449937	-0.0843093342	-0.0807274303	-0.0621323721	-0.065845368	0.0499879661	-0.0620792011	-0.0664326063	0.1309425072	0.0830272783	0.1566253076	-0.1057641884	0.0313221361	-0.1777999162	-0.0271097366	-0.0419812611	-0.0759729276	-0.0620518561	0.0464221275	0.0071401417	0.0607481367	0.0131607335	-0.1065441533	-0.0577777322	0.0570230721	-0.1290772286	-0.1113976746	0.0401616554	0.125188571	-0.1770901421	0.1837154765	0.117416907	-0.0336372293	-0.2071935183	0.1214271607	0.1137140766	0.1012197857	0.0844696213	0.0641678585	0.0	-0.00145402	-0.01501022	0.0002253067044484	2.1141741604e-06	-0.0275989	0.0161748	0.00026162415504	0.00076169928121	-8.177229999999998e-05	0.0067473177	4.55262961447333e-05	6.686709047289997e-09	0.000846738	-0.0004731319999999	7.16965240644e-07	2.2385388942399998e-07	-0.000246667	-0.00025212365	6.356633488932249e-08	6.0844608889e-08	-0.000394884	-0.0003510696	1.2324986404416001e-07	1.5593337345600006e-07
