Trialn,TrialType,Partner,Feedback,ITI,ISI
1,4,2,1,1,2.550000e+00
2,4,2,1,4,2.550000e+00
3,4,2,1,1,2.550000e+00
4,6,2,3,4,8.500000e-01
5,4,2,1,2,1.700000e+00
6,3,1,3,1,1.700000e+00
7,3,1,3,2,2.550000e+00
8,6,2,3,1,1.700000e+00
9,1,1,1,3,1.700000e+00
10,1,1,1,4,8.500000e-01
11,4,2,1,4,8.500000e-01
12,2,1,2,4,8.500000e-01
13,3,1,3,3,1.700000e+00
14,3,1,3,2,2.550000e+00
15,3,1,3,1,8.500000e-01
16,1,1,1,3,1.700000e+00
17,1,1,1,1,1.700000e+00
18,1,1,1,4,8.500000e-01
19,4,2,1,1,1.700000e+00
20,1,1,1,2,8.500000e-01
21,3,1,3,1,1.700000e+00
22,6,2,3,4,8.500000e-01
23,4,2,1,1,2.550000e+00
24,4,2,1,3,2.550000e+00
25,1,1,1,1,1.700000e+00
26,5,2,2,4,1.700000e+00
27,6,2,3,2,2.550000e+00
28,5,2,2,2,2.550000e+00
29,5,2,2,2,1.700000e+00
30,3,1,3,1,1.700000e+00
31,4,2,1,3,2.550000e+00
32,6,2,3,4,1.700000e+00
33,6,2,3,2,1.700000e+00
34,1,1,1,4,1.700000e+00
35,2,1,2,2,8.500000e-01
36,6,2,3,3,2.550000e+00
37,6,2,3,3,2.550000e+00
38,3,1,3,3,8.500000e-01
39,5,2,2,1,2.550000e+00
40,1,1,1,4,8.500000e-01
41,3,1,3,2,8.500000e-01
42,6,2,3,4,2.550000e+00
43,1,1,1,2,2.550000e+00
44,4,2,1,4,8.500000e-01
45,5,2,2,1,1.700000e+00
46,1,1,1,4,8.500000e-01
47,2,1,2,2,8.500000e-01
48,6,2,3,2,8.500000e-01
49,2,1,2,4,2.550000e+00
50,3,1,3,3,2.550000e+00
51,4,2,1,3,2.550000e+00
52,6,2,3,2,1.700000e+00
53,3,1,3,2,8.500000e-01
54,2,1,2,3,8.500000e-01
