Trialn,TrialType,Partner,Feedback,ITI,ISI
1,6,2,3,2,8.500000e-01
2,5,2,2,3,8.500000e-01
3,4,2,1,3,2.550000e+00
4,4,2,1,3,1.700000e+00
5,3,1,3,3,8.500000e-01
6,4,2,1,3,8.500000e-01
7,1,1,1,1,2.550000e+00
8,1,1,1,3,1.700000e+00
9,4,2,1,1,2.550000e+00
10,5,2,2,3,1.700000e+00
11,3,1,3,4,8.500000e-01
12,3,1,3,3,1.700000e+00
13,1,1,1,3,1.700000e+00
14,6,2,3,2,2.550000e+00
15,5,2,2,2,8.500000e-01
16,6,2,3,2,8.500000e-01
17,3,1,3,4,2.550000e+00
18,3,1,3,2,1.700000e+00
19,1,1,1,1,1.700000e+00
20,3,1,3,4,1.700000e+00
21,3,1,3,1,8.500000e-01
22,4,2,1,1,8.500000e-01
23,1,1,1,3,2.550000e+00
24,1,1,1,2,1.700000e+00
25,1,1,1,4,2.550000e+00
26,2,1,2,3,2.550000e+00
27,5,2,2,2,2.550000e+00
28,6,2,3,2,2.550000e+00
29,6,2,3,4,8.500000e-01
30,4,2,1,3,8.500000e-01
31,3,1,3,2,2.550000e+00
32,1,1,1,1,1.700000e+00
33,6,2,3,1,8.500000e-01
34,3,1,3,2,2.550000e+00
35,6,2,3,2,2.550000e+00
36,3,1,3,1,8.500000e-01
37,2,1,2,1,2.550000e+00
38,4,2,1,3,8.500000e-01
39,4,2,1,1,8.500000e-01
40,1,1,1,4,1.700000e+00
41,5,2,2,2,1.700000e+00
42,6,2,3,4,2.550000e+00
43,2,1,2,4,1.700000e+00
44,3,1,3,2,1.700000e+00
45,1,1,1,3,8.500000e-01
46,6,2,3,4,2.550000e+00
47,6,2,3,1,1.700000e+00
48,1,1,1,2,8.500000e-01
49,4,2,1,1,1.700000e+00
50,6,2,3,4,2.550000e+00
51,2,1,2,3,1.700000e+00
52,2,1,2,1,1.700000e+00
53,4,2,1,2,8.500000e-01
54,4,2,1,1,2.550000e+00
