TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,InitFixOffset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,6,2,3,2,2.550000e+00,1.0,0.0,2.4000183e-06,53.711304,57.712036,57.88334,2.0,59.3274,1.4440616,59.427795,3.5059383,62.934696,8.0,62.934845,63.942173,6.0588346,63.942356,65.94372,--
2,2,5,2,2,3,1.700000e+00,1.0,1.0,--,--,--,66.11104,7.0,67.35823,1.2471929,67.45864,2.852807,70.312706,5.0,70.31282,71.32004,5.2089963,71.32018,74.323006,--
3,3,3,1,3,3,8.500000e-01,1.0,2.0,--,--,--,74.328835,7.0,75.97645,1.6476116,76.07678,1.6023884,77.68101,3.0,77.68112,78.68707,4.3582363,78.687225,81.688995,--
4,4,2,1,2,1,2.550000e+00,1.0,3.0,--,--,--,81.69062,2.0,82.324585,0.6339666,82.42492,4.3160334,86.74263,5.0,86.742744,87.747116,6.056492,87.74726,88.748726,--
5,5,2,1,2,2,8.500000e-01,1.0,4.0,--,--,--,88.75037,7.0,89.27547,0.5251012,89.3758,2.7248988,92.10298,5.0,92.1031,93.10809,4.357725,93.10824,95.10998,--
6,6,3,1,3,4,1.700000e+00,1.0,5.0,--,--,--,95.11159,2.0,95.541794,0.4302111,95.642136,3.6697888,99.312996,7.0,99.31311,100.31871,5.207128,100.31886,104.32107,--
7,7,1,1,1,4,8.500000e-01,1.0,6.0,--,--,--,104.322655,7.0,104.741875,0.4192153,104.8422,2.8307848,107.674965,6.0,107.67508,108.68103,4.358375,108.68118,112.68376,--
8,8,2,1,2,3,2.550000e+00,1.0,7.0,--,--,--,112.6853,2.0,113.3078,0.6224983,113.408134,4.327502,117.737015,5.0,117.73713,118.74207,6.0567737,118.742226,121.74403,--
9,9,4,2,1,1,1.700000e+00,1.0,8.0,--,--,--,121.91495,7.0,122.44228,0.5273403,122.54269,3.5726597,126.11693,7.0,126.11704,127.12266,5.207709,127.1228,128.12494,--
10,10,5,2,2,3,2.550000e+00,1.0,9.0,--,--,--,128.2936,7.0,129.54103,1.2474402,129.64137,3.7025597,133.34595,5.0,133.34607,134.35072,6.057131,134.35086,137.35309,--
11,11,6,2,3,3,1.700000e+00,1.0,10.0,--,--,--,137.52054,2.0,138.04205,0.5215212,138.14246,3.5784788,141.72285,6.0,141.72296,142.72765,5.2071013,142.72778,145.7309,--
12,12,4,2,1,1,8.500000e-01,1.0,11.0,--,--,--,145.89851,2.0,146.52437,0.6258471,146.6247,2.624153,149.2509,1.0,149.25102,150.25699,4.3584704,150.25714,151.25888,--
13,13,4,2,1,1,8.500000e-01,1.0,12.0,--,--,--,151.42607,7.0,152.35764,0.9315634,152.45795,2.3184366,154.77776,8.0,154.77788,155.78233,4.3562694,155.78249,156.78395,--
14,14,3,1,3,2,1.700000e+00,1.0,13.0,--,--,--,156.78676,7.0,157.52498,0.7382155,157.6253,3.3617845,160.98898,3.0,160.9891,161.99396,5.207191,161.9941,163.9959,--
15,15,3,1,3,4,1.700000e+00,1.0,14.0,--,--,--,163.99753,2.0,164.42503,0.4275055,164.52539,3.6724944,168.19987,6.0,168.19998,169.2046,5.207081,169.20476,173.20686,--
16,16,3,1,3,1,2.550000e+00,1.0,15.0,--,--,--,173.20848,7.0,173.94165,0.73317,174.04205,4.21683,178.2607,3.0,178.2608,179.26625,6.0577707,179.2664,180.26888,--
17,17,1,1,1,3,8.500000e-01,1.0,16.0,--,--,--,180.27051,2.0,181.00836,0.7378503,181.1087,2.5121498,183.62334,1.0,183.62344,184.62798,4.357462,184.62811,187.62953,--
